"ChartTransID","ChartTypeID","RowNumber","TestScore","ChartNumber","YAxisValue","CreationDate","LastModificationDate"
269,1,1,0,245,10,2002-02-09 13:24:50,2002-02-09 13:24:50
270,1,1,1,350,22,2002-02-09 13:24:50,2002-02-09 13:24:50
271,1,1,2,425,35,2002-02-09 13:24:50,2002-02-09 13:24:50
272,1,1,3,475,45,2002-02-09 13:24:50,2002-02-09 13:24:50
273,1,1,4,530,55,2002-02-09 13:24:50,2002-02-09 13:24:50
274,1,1,5,585,65,2002-02-09 13:24:50,2002-02-09 13:24:50
275,1,1,6,610,73,2002-02-09 13:24:50,2002-02-09 13:24:50
276,1,1,7,640,77,2002-02-09 13:24:50,2002-02-09 13:24:50
277,1,1,8,695,83,2002-02-09 13:24:50,2002-02-09 13:24:50
278,1,1,9,730,88,2002-02-09 13:24:50,2002-02-09 13:24:50
279,1,1,10,750,90,2002-02-09 13:24:50,2002-02-09 13:24:50
280,1,1,11,785,93,2002-02-09 13:24:50,2002-02-09 13:24:50
281,1,1,12,810,95,2002-02-09 13:24:50,2002-02-09 13:24:50
282,1,1,13,840,96,2002-02-09 13:24:50,2002-02-09 13:24:50
283,1,1,14,870,97,2002-02-09 13:24:50,2002-02-09 13:24:50
284,1,1,15,940,99,2002-02-09 13:24:50,2002-02-09 13:24:50
285,1,1,16,960,99,2002-02-09 13:24:50,2002-02-09 13:24:50
286,1,1,17,985,99,2002-02-09 13:24:50,2002-02-09 13:24:50
287,1,2,0,210,7,2002-02-09 13:24:50,2002-02-09 13:24:50
288,1,2,1,335,23,2002-02-09 13:24:50,2002-02-09 13:24:50
289,1,2,2,415,33,2002-02-09 13:24:50,2002-02-09 13:24:50
290,1,2,3,470,44,2002-02-09 13:24:50,2002-02-09 13:24:50
291,1,2,4,515,54,2002-02-09 13:24:50,2002-02-09 13:24:50
292,1,2,5,545,60,2002-02-09 13:24:50,2002-02-09 13:24:50
293,1,2,6,575,65,2002-02-09 13:24:50,2002-02-09 13:24:50
294,1,2,7,600,70,2002-02-09 13:24:50,2002-02-09 13:24:50
295,1,2,8,643,77,2002-02-09 13:24:50,2002-02-09 13:24:50
296,1,2,9,695,83,2002-02-09 13:24:50,2002-02-09 13:24:50
297,1,2,10,725,86,2002-02-09 13:24:50,2002-02-09 13:24:50
298,1,2,11,755,91,2002-02-09 13:24:50,2002-02-09 13:24:50
299,1,2,12,810,95,2002-02-09 13:24:50,2002-02-09 13:24:50
300,1,2,13,840,96,2002-02-09 13:24:50,2002-02-09 13:24:50
301,1,2,14,862,97,2002-02-09 13:24:50,2002-02-09 13:24:50
302,1,2,15,885,97,2002-02-09 13:24:50,2002-02-09 13:24:50
303,1,2,16,910,99,2002-02-09 13:24:50,2002-02-09 13:24:50
304,1,2,17,935,99,2002-02-09 13:24:50,2002-02-09 13:24:50
305,1,3,0,135,4,2002-02-09 13:24:50,2002-02-09 13:24:50
306,1,3,1,230,9,2002-02-09 13:24:50,2002-02-09 13:24:50
307,1,3,2,270,14,2002-02-09 13:24:50,2002-02-09 13:24:50
308,1,3,3,340,21,2002-02-09 13:24:50,2002-02-09 13:24:50
309,1,3,4,385,29,2002-02-09 13:24:50,2002-02-09 13:24:50
310,1,3,5,425,35,2002-02-09 13:24:50,2002-02-09 13:24:50
311,1,3,6,455,40,2002-02-09 13:24:50,2002-02-09 13:24:50
312,1,3,7,485,45,2002-02-09 13:24:50,2002-02-09 13:24:50
313,1,3,8,510,54,2002-02-09 13:24:50,2002-02-09 13:24:50
314,1,3,9,535,56,2002-02-09 13:24:50,2002-02-09 13:24:50
315,1,3,10,590,68,2002-02-09 13:24:50,2002-02-09 13:24:50
316,1,3,11,630,74,2002-02-09 13:24:50,2002-02-09 13:24:50
317,1,3,12,655,79,2002-02-09 13:24:50,2002-02-09 13:24:50
318,1,3,13,705,84,2002-02-09 13:24:50,2002-02-09 13:24:50
319,1,3,14,745,89,2002-02-09 13:24:50,2002-02-09 13:24:50
